country,continent,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($) ,gdp_per_capita ($),generation,latitude,longitude
Argentina,South America,2009,male,75+ years,177,653486,27.09,Argentina2009,,"332,976,484,578",8961,Silent,-38.416097,-63.616671999999994
Argentina,South America,2009,male,15-24 years,609,3436265,17.72,Argentina2009,,"332,976,484,578",8961,Millenials,-38.416097,-63.616671999999994
Argentina,South America,2009,male,55-74 years,434,2683502,16.17,Argentina2009,,"332,976,484,578",8961,Silent,-38.416097,-63.616671999999994
Argentina,South America,2009,male,25-34 years,504,3210244,15.7,Argentina2009,,"332,976,484,578",8961,Generation X,-38.416097,-63.616671999999994
Argentina,South America,2009,male,35-54 years,542,4566645,11.87,Argentina2009,,"332,976,484,578",8961,Boomers,-38.416097,-63.616671999999994
Argentina,South America,2009,female,15-24 years,164,3342385,4.91,Argentina2009,,"332,976,484,578",8961,Millenials,-38.416097,-63.616671999999994
Argentina,South America,2009,female,55-74 years,112,3148915,3.56,Argentina2009,,"332,976,484,578",8961,Silent,-38.416097,-63.616671999999994
Argentina,South America,2009,female,25-34 years,105,3189773,3.29,Argentina2009,,"332,976,484,578",8961,Generation X,-38.416097,-63.616671999999994
Argentina,South America,2009,female,35-54 years,150,4726814,3.17,Argentina2009,,"332,976,484,578",8961,Boomers,-38.416097,-63.616671999999994
Argentina,South America,2009,female,75+ years,25,1211934,2.06,Argentina2009,,"332,976,484,578",8961,Silent,-38.416097,-63.616671999999994
Argentina,South America,2009,male,5-14 years,34,3553154,0.96,Argentina2009,,"332,976,484,578",8961,Generation Z,-38.416097,-63.616671999999994
Argentina,South America,2009,female,5-14 years,28,3434884,0.82,Argentina2009,,"332,976,484,578",8961,Generation Z,-38.416097,-63.616671999999994
Armenia,Europe,2009,male,75+ years,8,50759,15.76,Armenia2009,,"8,647,936,748",3215,Silent,40.069099,45.038189
Armenia,Europe,2009,male,55-74 years,11,189632,5.8,Armenia2009,,"8,647,936,748",3215,Silent,40.069099,45.038189
Armenia,Europe,2009,male,35-54 years,17,351694,4.83,Armenia2009,,"8,647,936,748",3215,Boomers,40.069099,45.038189
Armenia,Europe,2009,male,15-24 years,5,259772,1.92,Armenia2009,,"8,647,936,748",3215,Millenials,40.069099,45.038189
Armenia,Europe,2009,female,75+ years,1,79728,1.25,Armenia2009,,"8,647,936,748",3215,Silent,40.069099,45.038189
Armenia,Europe,2009,female,55-74 years,3,248767,1.21,Armenia2009,,"8,647,936,748",3215,Silent,40.069099,45.038189
Armenia,Europe,2009,male,25-34 years,2,198646,1.01,Armenia2009,,"8,647,936,748",3215,Generation X,40.069099,45.038189
Armenia,Europe,2009,female,25-34 years,2,230582,0.87,Armenia2009,,"8,647,936,748",3215,Generation X,40.069099,45.038189
Armenia,Europe,2009,female,35-54 years,3,433390,0.69,Armenia2009,,"8,647,936,748",3215,Boomers,40.069099,45.038189
Armenia,Europe,2009,female,15-24 years,1,278535,0.36,Armenia2009,,"8,647,936,748",3215,Millenials,40.069099,45.038189
Armenia,Europe,2009,female,5-14 years,0,172560,0.0,Armenia2009,,"8,647,936,748",3215,Generation Z,40.069099,45.038189
Armenia,Europe,2009,male,5-14 years,0,195630,0.0,Armenia2009,,"8,647,936,748",3215,Generation Z,40.069099,45.038189
Aruba,South America,2009,male,25-34 years,1,5729,17.46,Aruba2009,,"2,498,932,961",26361,Generation X,12.52111,-69.968338
Aruba,South America,2009,male,35-54 years,2,15734,12.71,Aruba2009,,"2,498,932,961",26361,Boomers,12.52111,-69.968338
