,country,year,sex,age,suicides_no,population,country-year, gdp_for_year ($) ,gdp_per_capita ($),continent
132,Albania,2000,male,25-34 years,17,232000,Albania2000,"3,632,043,908",1299,Europe
133,Albania,2000,male,55-74 years,10,177400,Albania2000,"3,632,043,908",1299,Europe
134,Albania,2000,female,75+ years,2,37800,Albania2000,"3,632,043,908",1299,Europe
135,Albania,2000,male,75+ years,1,24900,Albania2000,"3,632,043,908",1299,Europe
136,Albania,2000,female,15-24 years,6,263900,Albania2000,"3,632,043,908",1299,Europe
137,Albania,2000,male,15-24 years,5,240000,Albania2000,"3,632,043,908",1299,Europe
138,Albania,2000,female,35-54 years,5,332200,Albania2000,"3,632,043,908",1299,Europe
139,Albania,2000,female,25-34 years,3,245800,Albania2000,"3,632,043,908",1299,Europe
140,Albania,2000,male,35-54 years,4,374700,Albania2000,"3,632,043,908",1299,Europe
141,Albania,2000,male,5-14 years,1,374900,Albania2000,"3,632,043,908",1299,Europe
142,Albania,2000,female,5-14 years,0,324700,Albania2000,"3,632,043,908",1299,Europe
143,Albania,2000,female,55-74 years,0,168000,Albania2000,"3,632,043,908",1299,Europe
144,Albania,2001,male,25-34 years,22,206484,Albania2001,"4,060,758,804",1451,Europe
145,Albania,2001,male,35-54 years,34,378826,Albania2001,"4,060,758,804",1451,Europe
146,Albania,2001,male,55-74 years,11,196670,Albania2001,"4,060,758,804",1451,Europe
147,Albania,2001,female,75+ years,2,47254,Albania2001,"4,060,758,804",1451,Europe
148,Albania,2001,male,15-24 years,10,256039,Albania2001,"4,060,758,804",1451,Europe
149,Albania,2001,female,15-24 years,9,271359,Albania2001,"4,060,758,804",1451,Europe
150,Albania,2001,female,35-54 years,12,370191,Albania2001,"4,060,758,804",1451,Europe
151,Albania,2001,male,75+ years,1,31044,Albania2001,"4,060,758,804",1451,Europe
152,Albania,2001,female,55-74 years,6,189799,Albania2001,"4,060,758,804",1451,Europe
153,Albania,2001,male,5-14 years,6,321556,Albania2001,"4,060,758,804",1451,Europe
154,Albania,2001,female,25-34 years,4,222771,Albania2001,"4,060,758,804",1451,Europe
155,Albania,2001,female,5-14 years,2,307356,Albania2001,"4,060,758,804",1451,Europe
156,Albania,2002,male,75+ years,4,31007,Albania2002,"4,435,078,648",1573,Europe
157,Albania,2002,male,25-34 years,23,206286,Albania2002,"4,435,078,648",1573,Europe
158,Albania,2002,male,35-54 years,35,382139,Albania2002,"4,435,078,648",1573,Europe
159,Albania,2002,male,55-74 years,13,198130,Albania2002,"4,435,078,648",1573,Europe
160,Albania,2002,male,15-24 years,15,263067,Albania2002,"4,435,078,648",1573,Europe
161,Albania,2002,female,15-24 years,14,275970,Albania2002,"4,435,078,648",1573,Europe
