country,suicides_no_mean,suicides_no_median,suicides_no_variance,suicides_no_std,suicides_no_sem
Albania,7.242424242424242,4.0,75.74230858200328,8.703005721128953,0.7574994178515779
Antigua and Barbuda,0.06666666666666667,0.0,0.07955182072829128,0.28204932321899173,0.025747462776017898
Argentina,253.6060606060606,168.5,46513.98103169095,215.6710018330952,18.77175122836111
Armenia,5.481481481481482,3.0,33.95292488750433,5.826913839032145,0.5606950455849942
Aruba,0.5681818181818182,0.0,1.041117279666898,1.0203515470987918,0.08881020278486375
Australia,190.68333333333334,114.5,40366.58795518207,200.91437966253702,18.34088964472145
Austria,115.89393939393939,91.5,12300.049733981032,110.90558928197005,9.653092507295357
Azerbaijan,10.597222222222221,6.0,189.65238654147103,13.771433714086236,1.62297902764857
Bahamas,0.3712121212121212,0.0,0.6016076798519546,0.7756337278973592,0.06751025061627593
Bahrain,2.734848484848485,1.0,20.547478602822117,4.532932671331234,0.39454114701517046
Barbados,0.25757575757575757,0.0,0.6507055285681238,0.8066632064053274,0.07021102005837333
Belarus,250.54166666666666,127.0,100278.12456140362,316.6672142192867,32.31971221274442
Belgium,169.0,140.5,29932.534351145034,173.01021458614815,15.058606305774477
Belize,1.1742424242424243,1.0,2.7098658339116346,1.6461670127637824,0.14328044744675628
Brazil,696.7045454545455,368.5,505401.263185288,710.9157919087802,61.877277318684555
Bulgaria,88.22727272727273,61.5,7858.818181818183,88.64997564476926,7.715989980385568
Canada,308.6363636363636,173.0,117231.69882026366,342.39114886378655,29.80132430709318
Chile,148.87878787878788,74.0,26117.725653481386,161.60979442311466,14.066327096329005
Colombia,187.1060606060606,88.5,33323.16423779783,182.54633449565026,15.888619006153771
Costa Rica,23.439393939393938,9.5,815.713856118437,28.56070475528286,2.4858902681211963
Croatia,69.85606060606061,49.5,5240.16996298866,72.38901824854831,6.3006553068207625
Cuba,125.82575757575758,90.0,15517.61062919269,124.56970189092004,10.842400854135711
Cyprus,1.875,1.0,6.594736842105263,2.5680219707209018,0.26209764485511217
Czech Republic,127.25,87.5,20621.471374045806,143.60178053926006,12.49893067366947
Denmark,53.68939393939394,42.5,2864.0630927596576,53.516942109575524,4.658051918175843
Ecuador,66.76515151515152,39.0,3785.310837381449,61.52487982419347,5.355053431375803
El Salvador,39.121212121212125,22.5,1494.58061531344,38.659806198601665,3.3649042213770675
Estonia,25.143939393939394,16.0,840.0325584085131,28.983315172845792,2.5226737835571034
Fiji,2.1666666666666665,1.0,6.252336448598128,2.5004672460558504,0.24060757293503124
Finland,88.4469696969697,61.0,8799.607853342586,93.80622502447578,8.164783883156733
France,879.6212121212121,640.0,787515.6416840154,887.4207805117115,77.24006465892728
Georgia,10.083333333333334,6.0,129.6140350877193,11.38481598831177,1.1619579161184839
Germany,862.3787878787879,714.0,744456.3897756188,862.8188626679523,75.09874256379915
Greece,30.53030303030303,17.0,1110.3425861670144,33.32180346510396,2.9002907197108736
Grenada,0.125,0.0,0.16071428571428573,0.4008918628686366,0.036596252735569997
Guatemala,25.477272727272727,12.0,803.9613115891742,28.35421153178438,2.4679173399625207
Guyana,15.341666666666667,11.0,294.7982492997199,17.169689842851557,1.5673710720495215
Hungary,224.11363636363637,175.5,67459.44500346981,259.7295612814795,22.606556605140863
Iceland,3.022727272727273,2.0,11.274288688410827,3.3577207579563293,0.29225207944941345
Ireland,39.378787878787875,19.0,1840.817256534814,42.90474631710126,3.734378834127423
Israel,33.015151515151516,23.0,884.7783946333568,29.745224736642296,2.588989499015065
Italy,328.2878787878788,247.5,100229.45847790888,316.59036384247213,27.555654217929533
Jamaica,0.9537037037037037,0.0,6.007182416060918,2.4509554088275287,0.2358432941763905
Japan,2511.8257575757575,1691.5,6703428.969407819,2589.0980996107155,225.35206410979262
Kazakhstan,343.3636363636364,152.5,156154.34004163792,395.1636876556826,34.39458423295538
Kiribati,0.0,0.0,0.0,0.0,0.0
Kuwait,3.734848484848485,1.0,29.463509137173247,5.428029949914909,0.47244936506925567
Kyrgyzstan,40.90909090909091,20.5,1989.7015961138093,44.60607129207648,3.88246016595871
Latvia,47.72727272727273,29.0,3253.696044413602,57.041178497762495,4.964797322920524
Lithuania,107.65151515151516,54.5,18299.32801295397,135.2750088262942,11.774178222933815
Luxembourg,5.053030303030303,3.0,34.371212121212125,5.862696659491443,0.5102822460317853
Maldives,0.16666666666666666,0.0,0.21495327102803735,0.46363053289018546,0.044612868828113036
Malta,2.0303030303030303,1.0,8.01434189220449,2.8309613017850475,0.24640355375801598
Mauritius,9.166666666666666,5.5,111.0254452926209,10.536861263802466,0.9171160549665626
Mexico,352.1212121212121,164.0,132479.93939393942,363.97793805935464,31.68021313848032
Montenegro,3.933333333333333,0.0,60.0795518207283,7.751100039396234,0.7075753895094165
Netherlands,125.6590909090909,81.0,16637.172970159616,128.98516569807404,11.226717648889005
New Zealand,42.04545454545455,26.0,1579.7383761276878,39.74592276105422,3.459438534020268
Nicaragua,29.25,16.5,999.6590909090908,31.61738589619785,9.127153129121053
Norway,43.871212121212125,34.5,1474.0214550080955,38.392987055035135,3.3416805958389837
Oman,1.0833333333333333,0.0,3.9927536231884067,1.9981875845846921,0.40787833271640817
Panama,14.303030303030303,6.5,252.3502197547999,15.88553492189671,1.3826583414030793
Paraguay,17.696969696969695,10.5,266.2738838769373,16.31790071905505,1.4202909536454498
Philippines,138.40740740740742,90.5,20219.570785739008,142.19553715127282,13.682771941975131
Poland,493.780303030303,257.0,408099.07350219757,638.8263249915407,55.602694608660116
Portugal,81.59375,58.0,7402.033223684213,86.03506973138461,8.780917534444255
Puerto Rico,23.598484848484848,12.0,872.4864099005321,29.537880931111697,2.570942537193215
Qatar,2.65625,0.0,23.406907894736843,4.838068612032785,0.4937833100023148
Romania,225.87121212121212,137.0,80825.85351607678,284.29888060996086,24.74504136370539
Russian Federation,3846.0757575757575,1636.5,21549111.811010882,4642.102089679942,404.04312523926546
Saint Lucia,0.6166666666666667,0.0,1.028291316526611,1.0140469991704582,0.09256940263601374
Saint Vincent and Grenadines,0.4772727272727273,0.0,0.8926092990978488,0.9447800268305045,0.08223254623220777
San Marino,0.08333333333333333,0.0,0.07971014492753623,0.28232985128663995,0.05763033956734372
Serbia,115.57575757575758,89.5,13203.864445986577,114.90806954251114,10.001463698177329
Seychelles,0.48333333333333334,0.0,0.8064425770308125,0.898021479158941,0.08197777020991791
Singapore,27.37121212121212,20.0,588.9069511913024,24.26740511862161,2.112206499588477
Slovakia,45.97727272727273,13.0,5182.281922276199,71.98806791598312,6.26575705979696
Slovenia,41.803030303030305,30.5,2263.2433495257937,47.57355725112212,4.140746665874765
South Africa,31.21969696969697,18.0,1193.2567083044185,34.54354799820682,3.0066299319604908
Spain,279.50757575757575,211.5,68917.09154522323,262.52064975011626,22.849489674233496
Sri Lanka,378.43333333333334,215.5,160573.77514124298,400.7165770731765,51.73228765178845
Suriname,7.984848484848484,5.0,80.8852648623641,8.993623566859139,0.7827944545333806
Sweden,97.5,87.5,7793.10687022901,88.27857537494027,7.683663736188996
Switzerland,106.89393939393939,92.5,8668.47721489706,93.10465732119452,8.103720252516021
Thailand,345.7416666666667,183.0,134639.97471988795,366.9332019862579,33.49626530424548
Trinidad and Tobago,12.93939393939394,6.0,218.7443904695814,14.790009819793271,1.287305120495683
Turkey,107.25,62.0,10142.804347826086,100.71149064444477,20.557646942830957
Turkmenistan,31.575757575757574,14.0,1483.375896368263,38.514619255138214,3.3522673199803226
Ukraine,928.9924242424242,516.0,1267184.3281864433,1125.6928214155241,97.9789838390852
United Arab Emirates,8.63888888888889,3.0,174.03677621283256,13.192299883372595,1.5547274511632105
United Kingdom,344.3636363636364,221.5,142907.31714087434,378.03084152073404,32.90336138544464
United States,2782.6439393939395,2282.5,8516643.956222527,2918.328966415974,254.0079328906536
Uruguay,45.20454545454545,37.5,1594.7288341429557,39.934056069261935,3.475813436670263
Uzbekistan,126.66666666666667,84.5,16848.1403508772,129.8003865590438,13.247696478569555
